name
WATER_FOUNTAIN
VENDING_MACHINE
CAFE
BAR
STUDY_AREA
CHARGING_STATION
ELEVATOR
STAIRS
PRINTER
WIFI
LOCKER
LOUNGE
CAFETERIA
LIBRARY
ATM
BICYCLE_RACK
HANDICAP_ACCESSIBLE
PARKING_SPOT
POST_BOX
SECURITY_DESK
TRASH_CAN
RECYCLING_BIN
COFFEE_MACHINE
SHOWER
FIRST_AID_KIT
POWER_OUTLETS
REST_AREA
LOST_AND_FOUND
EXIT
